             fitted      lower      upper
Jan-2011 0.03088119 0.02729115 0.03494347
Feb-2011 0.03496809 0.03091011 0.03955882
Mar-2011 0.03828502 0.03384986 0.04330130
Apr-2011 0.03730873 0.03299422 0.04218743
May-2011 0.03653256 0.03231508 0.04130047
Jun-2011 0.03641183 0.03221560 0.04115465
Jul-2011 0.03381739 0.02992682 0.03821375
Aug-2011 0.03480465 0.03080724 0.03932074
Sep-2011 0.03728328 0.03300852 0.04211164
Oct-2011 0.03815853 0.03379086 0.04309074
Nov-2011 0.03715153 0.03290640 0.04194431
Dec-2011 0.03130846 0.02773707 0.03533969
