"","mod","ll","sig","regg"
"2234","2,1,3,3,0,3,24",212.677432287171,0.00913792548871338,"2,3,5"
"2218","2,1,3,3,0,0,24",212.052531327505,0.00918793342932177,"2,3,5"
"2236","2,1,3,3,0,3,24",210.312934525696,0.00932859136699972,"3,5"
"3392","3,1,3,3,0,3,24",209.730676066048,0.00937615019030832,"2,5"
"3388","3,1,3,3,0,3,24",209.642123252208,0.00938340438795669,"3,5"
"2240","2,1,3,3,0,3,24",209.342435970724,0.00940799626814436,"2,5"
"2220","2,1,3,3,0,0,24",208.898171269113,0.00944457058902566,"3,5"
"3390","3,1,3,3,0,3,24",208.883903603379,0.00944574753550719,"2"
"2235","2,1,3,3,0,3,24",208.490037007801,0.00947829575015262,"2,3"
"2237","2,1,3,3,0,3,24",208.462348310734,0.00948058809420907,"5"
"2238","2,1,3,3,0,3,24",207.595145751599,0.00955266498012258,"2"
"2239","2,1,3,3,0,3,24",207.382025928553,0.00957046199435956,"3"
"2233","2,1,3,3,0,3,24",207.259983413816,0.00958066833446485,"0"
"2136","2,1,3,2,0,3,12",207.152553088076,0.00958966167353132,"2,5"
"2224","2,1,3,3,0,0,24",207.006277802318,0.00960192042363441,"2,5"
"2133","2,1,3,2,0,3,12",206.430248926102,0.0096503476680183,"5"
"2219","2,1,3,3,0,0,24",206.31871519674,0.00965975259083901,"2,3"
"2221","2,1,3,3,0,0,24",206.079235731408,0.00967997733535444,"5"
"2222","2,1,3,3,0,0,24",205.860911182923,0.00969845238180207,"2"
"3389","3,1,3,3,0,3,24",205.707838741905,0.00971142669240136,"5"
"3378","3,1,3,3,0,3,12",205.530957760388,0.00972644061538931,"2,3,5"
"2217","2,1,3,3,0,0,24",204.885608477938,0.00978141593372462,"0"
"2223","2,1,3,3,0,0,24",203.884663713367,0.00986729869701161,"3"
"2226","2,1,3,3,0,3,12",202.487414207555,0.00998844755008223,"2,3,5"
"1938","2,1,3,0,0,3,12",202.110287166914,0.0100214005980899,"2,3,5"
"3371","3,1,3,3,0,0,24",201.686770369087,0.0100585367599882,"2,3"
"3384","3,1,3,3,0,3,12",201.459685941658,0.0100785053502888,"2,5"
"2114","2,1,3,2,0,0,12",201.259650919909,0.0100961281984735,"2,3,5"
"2138","2,1,3,2,0,3,24",201.048419470787,0.0101147708897034,"2,3,5"
"1940","2,1,3,0,0,3,12",201.037937367338,0.0101156969065423,"3,5"
"3379","3,1,3,3,0,3,12",200.845202376989,0.0101327387455315,"2,3"
"3376","3,1,3,3,0,0,24",200.802333577021,0.0101365331531838,"2,5"
"3374","3,1,3,3,0,0,24",200.743686338415,0.0101417264453375,"2"
"3290","3,1,3,2,0,3,24",200.647968928163,0.0101502080667671,"2,3,5"
"2116","2,1,3,2,0,0,12",200.614547801527,0.0101531712187558,"3,5"
"1946","2,1,3,0,0,3,24",200.538780592779,0.0101598920224534,"2,3,5"
"3292","3,1,3,2,0,3,24",200.428340856563,0.0101696963639587,"3,5"
"2140","2,1,3,2,0,3,24",200.335630771738,0.0101779340514641,"3,5"
"2232","2,1,3,3,0,3,12",200.236912431361,0.0101867129336833,"2,5"
